Rank,Team,Rating,Hi,Low,Last
1,Ohio State,19,1,67,1
2,LSU,18.2,1,68,2
3,Clemson,15.6,1,62,31
4,Michigan,15.1,3,74,5
5,Wisconsin,15.1,2,89,4
6,Auburn,14.6,1,17,3
7,Alabama,14.4,1,51,6
8,Georgia,12.7,3,48,7
9,Penn State,12.2,1,92,8
10,Florida,10.9,4,37,9
11,Texas A&M,10.4,1,107,10
12,Oregon,9.9,4,19,13
13,Iowa,9.2,7,98,12
14,Oklahoma,9,7,56,18
15,S Carolina,8.9,2,41,11
16,Notre Dame,8.6,1,59,14
17,Texas,8.3,9,78,17
18,USC,7.3,6,61,16
19,Baylor,6.7,19,127,22
20,Utah,6.5,16,55,20
21,Iowa State,6.5,18,120,21
22,Minnesota,6.3,21,122,30
23,Miss State,6.1,10,65,15
24,Michigan St,5.8,5,97,19
25,Oklahoma St,5.2,23,92,29
26,TX Christian,5.1,19,122,23
27,Nebraska,5,20,89,25
28,Washington,4.9,12,90,27
29,Indiana,4.9,19,101,24
30,Stanford,4.8,1,42,26
31,Mississippi,4.5,22,74,28
32,Kansas St,4.1,24,123,33
33,Tennessee,3.9,21,104,38
34,Wash State,3.8,23,106,36
35,UCLA,3.6,7,41,34
36,Colorado,3.6,30,110,32
37,Northwestern,3.5,8,41,35
38,California,3.3,29,104,37
39,Purdue,3.2,30,74,40
40,Virginia,3.1,33,66,51
41,Oregon St,3.1,31,99,39
42,Cincinnati,2.8,11,61,43
43,Arizona St,2.8,28,124,41
44,Memphis,2.6,29,112,62
45,Tulsa,2.5,11,95,42
46,N Carolina,2.4,5,58,45
47,Louisville,2.1,15,90,49
48,Maryland,2.1,28,91,44
49,Houston,1.9,6,50,46
50,Navy,1.9,50,130,56
51,Kentucky,1.9,20,93,55
52,Missouri,1.8,25,88,54
53,W Virginia,1.6,45,99,48
54,Arizona,1.4,46,93,50
55,Texas Tech,1.4,41,125,53
56,Florida St,1.3,22,60,52
57,Tulane,1.1,21,104,47
58,Central FL,0.8,26,111,60
59,Duke,0.7,1,61,58
60,Illinois,0.7,43,118,57
61,S Methodist,-0.1,43,83,63
62,Miami,-0.2,4,63,61
63,Pittsburgh,-0.4,11,63,59
64,VA Tech,-0.4,28,111,64
65,Wake Forest,-1,48,81,70
66,Boston Col,-1.1,41,118,65
67,Arkansas,-1.6,64,119,69
68,Vanderbilt,-1.7,3,73,68
69,Air Force,-1.8,31,126,76
70,Kansas,-1.8,64,120,66
71,BYU,-1.9,13,71,67
72,Syracuse,-2.1,12,77,71
73,Boise State,-2.6,24,81,81
74,GA Tech,-2.9,2,92,72
75,Temple,-2.9,35,127,74
76,App State,-3,46,124,73
77,Fla Atlantic,-3.2,1,82,82
78,S Florida,-3.8,8,96,75
79,LA Lafayette,-3.8,23,93,77
80,Rutgers,-4.5,77,124,78
81,NC State,-4.6,47,108,80
82,Hawaii,-4.7,41,95,83
83,Utah State,-4.9,35,83,79
84,Marshall,-6.1,47,117,89
85,Wyoming,-6.4,45,111,85
86,Fresno St,-6.6,17,87,86
87,S Mississippi,-6.7,33,120,92
88,GA Southern,-6.7,6,99,84
89,Miami,-6.8,14,100,90
90,Army,-6.9,25,119,87
91,W Kentucky,-7.7,90,123,98
92,Ball State,-7.7,36,113,91
93,LA Monroe,-7.8,80,121,88
94,Middle Tenn,-8,4,103,93
95,San Jose,-8.2,94,126,95
96,W Michigan,-8.3,53,118,96
97,Colorado St,-8.3,50,115,94
98,San Diego,-8.4,71,111,103
99,Kent State,-8.8,30,121,106
100,Rice,-8.9,21,128,104
101,Arkansas St,-8.9,26,105,97
102,Ohio,-9,54,115,99
103,Georgia State,-9,31,110,102
104,UNLV,-9.2,90,128,105
105,N Illinois,-9.2,63,110,101
106,S Alabama,-9.3,24,120,100
107,E Michigan,-9.3,33,108,108
108,Buffalo,-9.6,78,129,107
109,Troy,-10.3,83,129,109
110,E Carolina,-10.4,27,123,110
111,Nevada,-10.7,19,123,116
112,North Texas,-10.7,69,114,114
113,Central Mich,-10.8,109,128,113
114,Toledo,-10.9,12,114,112
115,LA Tech,-11,10,124,122
116,Florida Intl,-11,29,124,115
117,Texas State,-11,10,117,111
118,Charlotte,-11.3,101,128,118
119,New Mexico,-11.4,109,128,117
120,UAB,-11.6,98,130,123
121,Coastal Car,-12.2,81,125,119
122,Liberty,-12.3,32,127,124
123,Old Dominion,-12.8,100,123,120
124,Connecticut,-13.4,107,127,121
125,TX-San Ant,-13.8,112,129,125
126,N Mex,-14,9,126,126
127,Bowling Grn,-17.4,114,130,128
128,TX El,-17.5,115,129,127
129,Akron,-18.7,43,129,129
130,U Mass,-23,65,130,130
